TIME,AMOUNT,ETH_BALANCE
2024-10-05 00:00:00.000,408.25242518,3902.327098751
2024-10-06 00:00:00.000,19769.575001613,23671.902100364
2024-10-07 00:00:00.000,-7482.62152743,16189.280572934
2024-10-08 00:00:00.000,-5269.742482226,10919.538090709
2024-10-09 00:00:00.000,-5945.758322145,4973.779768563
2024-10-10 00:00:00.000,9619.429296549,14593.209065113
2024-10-11 00:00:00.000,-10178.21942717,4414.989637943
2024-10-12 00:00:00.000,-716.182045626,3698.807592317
2024-10-13 00:00:00.000,6976.823538598,10675.631130914
2024-10-14 00:00:00.000,4191.938839903,14867.569970817
2024-10-15 00:00:00.000,-9479.262246967,5388.307723851
2024-10-16 00:00:00.000,19216.83518946,24605.142913311
2024-10-17 00:00:00.000,-15264.655473881,9340.48743943
2024-10-18 00:00:00.000,6302.216915628,15642.704355058
2024-10-19 00:00:00.000,-12864.079426841,2778.624928217
2024-10-20 00:00:00.000,10940.52696986,13719.151898077
2024-10-21 00:00:00.000,1193.677353193,14912.829251271
2024-10-22 00:00:00.000,1274.324894742,16187.154146013
2024-10-23 00:00:00.000,-10308.841305025,5878.312840988
2024-10-24 00:00:00.000,1637.394417604,7515.707258592
2024-10-25 00:00:00.000,12073.299163337,19589.006421929
2024-10-26 00:00:00.000,-12917.326629257,6671.679792672
2024-10-27 00:00:00.000,20158.984982881,26830.664775553
2024-10-28 00:00:00.000,-20749.078432564,6081.58634299
2024-10-29 00:00:00.000,-2869.126369156,3212.459973834
2024-10-30 00:00:00.000,7818.648601758,11031.108575592
2024-10-31 00:00:00.000,-5775.370029177,5255.738546414
2024-11-01 00:00:00.000,-2773.253720041,2482.484826373
2024-11-02 00:00:00.000,3198.168674111,5680.653500484
2024-11-03 00:00:00.000,-4085.936415175,1594.717085309
2024-11-04 00:00:00.000,4337.060594581,5931.777679891
2024-11-05 00:00:00.000,1923.784054348,7855.561734238
﻿
